Unnamed: 0,Overall Rankings,Player name,"School - State, City",position,Height/weight,score,National rank,Star Rating,Position ranking,Committed School,High School Stats,University,Estimated NIL Budget
227,927,Test Player C-27,"Example HS (Anywhere, USA)",OL,6-0 / 180,78,827,1,59,Synthetic University,Stats not available,Synthetic University,3658639.0
228,928,Test Player C-28,"Example HS (Anywhere, USA)",WR,6-0 / 180,88,828,2,135,Synthetic University,Stats not available,Synthetic University,2987111.0
229,929,Test Player C-29,"Example HS (Anywhere, USA)",QB,6-0 / 180,81,829,1,76,Synthetic University,Stats not available,Synthetic University,4854104.0
230,930,Test Player C-30,"Example HS (Anywhere, USA)",RB,6-0 / 180,83,830,2,148,Synthetic University,Stats not available,Synthetic University,3616139.0
231,931,Test Player C-31,"Example HS (Anywhere, USA)",S,6-0 / 180,78,831,1,84,Synthetic University,Stats not available,Synthetic University,2076632.0
232,932,Test Player C-32,"Example HS (Anywhere, USA)",WR,6-0 / 180,88,832,2,113,Synthetic University,Stats not available,Synthetic University,2498683.0
233,933,Test Player C-33,"Example HS (Anywhere, USA)",WR,6-0 / 180,81,833,2,79,Synthetic University,Stats not available,Synthetic University,2031080.0
234,934,Test Player C-34,"Example HS (Anywhere, USA)",RB,6-0 / 180,87,834,2,105,Synthetic University,Stats not available,Synthetic University,1856341.0
235,935,Test Player C-35,"Example HS (Anywhere, USA)",DL,6-0 / 180,82,835,2,102,Synthetic University,Stats not available,Synthetic University,3425391.0
236,936,Test Player C-36,"Example HS (Anywhere, USA)",WR,6-0 / 180,77,836,1,89,Synthetic University,Stats not available,Synthetic University,1529227.0
237,937,Test Player C-37,"Example HS (Anywhere, USA)",OL,6-0 / 180,76,837,2,111,Synthetic University,Stats not available,Synthetic University,3064562.0
1000,1100,DiversePlayer_0,"Test High School (Anywhere, USA)",RB,6-0 / 180,80,900,1,73,HighBudget College,Moderate production season,HighBudget College,11923131.733890569
1001,1101,DiversePlayer_1,"Test High School (Anywhere, USA)",RB,6-0 / 180,78,901,2,100,HighBudget College,Moderate production season,HighBudget College,11726406.60613449
1002,1102,DiversePlayer_2,"Test High School (Anywhere, USA)",S,6-0 / 180,76,902,2,73,HighBudget College,Moderate production season,HighBudget College,11636499.556164157
1003,1103,DiversePlayer_3,"Test High School (Anywhere, USA)",DL,6-0 / 180,79,903,2,140,HighBudget College,Moderate production season,HighBudget College,12356013.78645484
1004,1104,DiversePlayer_4,"Test High School (Anywhere, USA)",S,6-0 / 180,84,904,2,124,HighBudget College,Moderate production season,HighBudget College,11906573.71476622
1005,1105,DiversePlayer_5,"Test High School (Anywhere, USA)",QB,6-0 / 180,84,905,2,146,HighBudget College,Moderate production season,HighBudget College,10386290.40645563
1006,1106,DiversePlayer_6,"Test High School (Anywhere, USA)",WR,6-0 / 180,84,906,1,93,HighBudget College,Moderate production season,HighBudget College,12568973.502395257
1007,1107,DiversePlayer_7,"Test High School (Anywhere, USA)",WR,6-0 / 180,80,907,2,136,HighBudget College,Moderate production season,HighBudget College,10101368.265462158
1008,1108,DiversePlayer_8,"Test High School (Anywhere, USA)",OL,6-0 / 180,84,908,1,145,HighBudget College,Moderate production season,HighBudget College,14047797.05653643
1009,1109,DiversePlayer_9,"Test High School (Anywhere, USA)",WR,6-0 / 180,75,909,1,129,HighBudget College,Moderate production season,HighBudget College,12553528.947777096
1010,1110,DiversePlayer_10,"Test High School (Anywhere, USA)",DL,6-0 / 180,84,910,1,96,HighBudget College,Moderate production season,HighBudget College,13577454.851007776
1011,1111,DiversePlayer_11,"Test High School (Anywhere, USA)",S,6-0 / 180,75,911,2,80,HighBudget College,Moderate production season,HighBudget College,13368984.39476585
1012,1112,DiversePlayer_12,"Test High School (Anywhere, USA)",DL,6-0 / 180,75,912,2,141,HighBudget College,Moderate production season,HighBudget College,11551491.70739085
1013,1113,DiversePlayer_13,"Test High School (Anywhere, USA)",QB,6-0 / 180,84,913,2,77,HighBudget College,Moderate production season,HighBudget College,14439040.529052265
1014,1114,DiversePlayer_14,"Test High School (Anywhere, USA)",DL,6-0 / 180,78,914,2,142,HighBudget College,Moderate production season,HighBudget College,12172037.497466428
1015,1115,DiversePlayer_15,"Test High School (Anywhere, USA)",RB,6-0 / 180,75,915,1,126,HighBudget College,Moderate production season,HighBudget College,10523112.868685294
1016,1116,DiversePlayer_16,"Test High School (Anywhere, USA)",OL,6-0 / 180,83,916,2,106,HighBudget College,Moderate production season,HighBudget College,11364129.086425485
1017,1117,DiversePlayer_17,"Test High School (Anywhere, USA)",QB,6-0 / 180,80,917,1,135,HighBudget College,Moderate production season,HighBudget College,13990164.712836772
1018,1118,DiversePlayer_18,"Test High School (Anywhere, USA)",WR,6-0 / 180,78,918,1,111,HighBudget College,Moderate production season,HighBudget College,10250912.255651234
1019,1119,DiversePlayer_19,"Test High School (Anywhere, USA)",RB,6-0 / 180,75,919,2,107,HighBudget College,Moderate production season,HighBudget College,14617165.275308156
